Date,Cases_Inside_Lombardy,Cases_Italy
24/02/2020,166,221
25/02/2020,68,93
26/02/2020,18,78
27/02/2020,145,250
28/02/2020,128,238
29/02/2020,84,240
01/03/2020,369,566
02/03/2020,270,342
03/03/2020,266,466
04/03/2020,300,587
05/03/2020,431,769
06/03/2020,361,778
07/03/2020,808,1247
08/03/2020,769,1492
09/03/2020,1280,1797
10/03/2020,322,977
11/03/2020,1489,2313
12/03/2020,1445,2651
13/03/2020,1095,2547
14/03/2020,1865,3497
15/03/2020,1587,3590
16/03/2020,1377,3233
17/03/2020,1571,3526
18/03/2020,1493,4207
19/03/2020,2171,5322
20/03/2020,2380,5986
21/03/2020,3251,6557
22/03/2020,1691,5560
23/03/2020,1555,4789
24/03/2020,1942,5249
25/03/2020,1643,5210
26/03/2020,2543,6153
27/03/2020,2409,5959
28/03/2020,2117,5974
29/03/2020,1592,5217
30/03/2020,1154,4050
31/03/2020,1047,4053
01/04/2020,1565,4782
02/04/2020,1292,4668
03/04/2020,1455,4585
04/04/2020,1598,4805
05/04/2020,1337,4316
06/04/2020,1079,3599
07/04/2020,791,3039
08/04/2020,1089,3836
09/04/2020,1388,4204
10/04/2020,1246,3951
11/04/2020,1544,4694
12/04/2020,1460,4092
13/04/2020,1262,3153
14/04/2020,1012,2972
15/04/2020,827,2667
16/04/2020,941,3786
17/04/2020,1041,3493
18/04/2020,1246,3491
19/04/2020,855,3047
20/04/2020,735,2256
21/04/2020,960,2729
22/04/2020,1161,3370
23/04/2020,1073,2646
24/04/2020,1091,3021
25/04/2020,713,2357
26/04/2020,920,2324
27/04/2020,590,1739
28/04/2020,869,2091
29/04/2020,786,2086
30/04/2020,598,1872
01/05/2020,737,1965
02/05/2020,533,1900
03/05/2020,526,1389
04/05/2020,577,1221
05/05/2020,500,1075
